번호,카테고리,커넥터명 (영문),커넥터명 (한국어),등급,주요 트리거,주요 액션,"에듀올랩
적용가능성",설명
184,Google Workspace,Google Search Console,구글 서치 콘솔,Premium,-,"검색 성능 조회, 색인 상태 확인",낮음,SEO 데이터 조회
185,소셜 미디어,Twitter / X,트위터/X,Standard,"새 트윗, 멘션, DM","트윗 게시, 리트윗, 좋아요, DM 전송",낮음,X(트위터) 소셜 미디어 자동화
186,소셜 미디어,LinkedIn,링크드인,Premium,"새 연결, 새 메시지","게시물 공유, 댓글 조회",낮음,비즈니스 소셜 네트워크
187,소셜 미디어,Facebook,페이스북,Premium,"새 게시물, 새 리드","게시물 게시, 페이지 관리, 사진 업로드",낮음,Facebook 페이지 자동화
188,소셜 미디어,Instagram Business,인스타그램 비즈니스,Premium,"새 게시물, 새 댓글","게시물 게시, 댓글 관리",낮음,Instagram 비즈니스 자동화
189,소셜 미디어,Pinterest,핀터레스트,Premium,새 핀,"핀 생성, 보드 관리",낮음,Pinterest 비주얼 마케팅
190,소셜 미디어,Buffer,버퍼,Premium,-,소셜 게시물 예약·발행,낮음,소셜 미디어 게시물 스케줄링
191,소셜 미디어,Hootsuite,후트스위트,Premium,새 멘션,"게시물 예약, 소셜 모니터링",낮음,소셜 미디어 관리 플랫폼
192,소셜 미디어,TikTok for Business,틱톡 비즈니스,Premium,새 동영상,"광고 관리, 비디오 업로드",낮음,TikTok 비즈니스 자동화
193,HR·채용,Workday,워크데이,Premium,"직원 변경, 채용 단계 변경","직원 데이터 조회·수정, 채용 관리, 급여 조회",낮음,대기업 HR·재무 플랫폼
194,HR·채용,BambooHR,밤부HR,Premium,"직원 입사/퇴사, 휴가 신청","직원 데이터 CRUD, 휴가 관리, 보고서 조회",낮음,중소기업 HR 플랫폼
195,HR·채용,ADP Workforce Now,ADP 인력관리,Premium,직원 변경,직원·급여·근태 데이터 조회·수정,낮음,급여·HR 아웃소싱 플랫폼
196,HR·채용,SAP SuccessFactors,SAP 서커스팩터스,Premium,"직원 변경, 목표 변경","직원 데이터 조회·수정, 성과 관리",낮음,대기업 HR 클라우드
197,HR·채용,Greenhouse,그린하우스,Premium,지원자 단계 변경,지원자·채용공고·면접 관리,낮음,채용 관리 시스템 (ATS)
198,HR·채용,Lever,레버,Premium,지원자 단계 변경,"지원자·기회 관리, 피드백 수집",낮음,채용 자동화 플랫폼
199,HR·채용,Workable,워커블,Premium,지원자 생성/단계변경,채용공고·지원자·면접 관리,낮음,채용 플랫폼
200,HR·채용,Teamtailor,팀테일러,Premium,지원자 생성,채용공고·지원자 관리,낮음,고용주 브랜딩 채용 플랫폼
201,HR·채용,Bob (HiBob),하이밥,Premium,직원 변경,"직원 데이터 조회·수정, 휴가 관리",낮음,중견기업 HR 플랫폼
202,HR·채용,Personio,퍼소니오,Premium,직원 생성/수정,직원·근태·급여 관리,낮음,유럽 중소기업 HR 플랫폼
203,HR·채용,Rippling,리플링,Premium,직원 온보딩/오프보딩,직원·급여·IT 관리,낮음,HR + IT 통합 플랫폼
204,ERP·재무,SAP ERP (via SAP connector),SAP ERP,Premium,"전표 생성, 발주 변경","마스터 데이터 CRUD, 트랜잭션 실행",낮음,글로벌 대기업 ERP
205,ERP·재무,NetSuite,넷스위트,Premium,레코드 생성/수정,"레코드 CRUD, 보고서 실행, SuiteScript 호출",낮음,클라우드 ERP·회계
206,ERP·재무,QuickBooks Online,퀵북스 온라인,Premium,"청구서 생성, 결제 수신","청구서·고객·결제 CRUD, 보고서 조회",낮음,중소기업 회계 소프트웨어
207,ERP·재무,Xero,제로,Premium,청구서 생성/수정,"청구서·연락처·결제 CRUD, 은행 거래 조회",낮음,중소기업 온라인 회계
208,ERP·재무,FreshBooks,프레시북스,Premium,"청구서 생성, 결제 수신",청구서·클라이언트·비용 관리,낮음,프리랜서·중소기업 회계
209,ERP·재무,Wave,웨이브,Premium,고객 생성,청구서·고객·결제 관리,낮음,무료 중소기업 회계
210,ERP·재무,Sage,세이지,Premium,거래 생성,고객·공급업체·거래 관리,낮음,기업 재무·회계 ERP
211,ERP·재무,Stripe,스트라이프,Premium,"결제 완료, 구독 변경, 환불",결제·고객·구독·청구서 관리,낮음,온라인 결제 처리
212,ERP·재무,PayPal,페이팔,Premium,"결제 완료, 환불","결제 조회·환불 처리, 청구서 발송",낮음,온라인 결제 플랫폼
213,ERP·재무,Chargebee,차지비,Premium,구독 생성/수정/취소,구독·청구서·고객 관리,낮음,구독 결제 관리
214,ERP·재무,Recurly,리커리,Premium,구독 생성/취소,구독·청구서·고객 관리,낮음,구독 빌링 플랫폼
215,ERP·재무,Zuora,주오라,Premium,구독 변경,구독·청구·결제 관리,낮음,엔터프라이즈 구독 관리
216,ERP·재무,Expensify,익스펜시파이,Premium,경비 보고서 제출,경비 보고서 생성·승인·조회,낮음,경비 관리 자동화
217,ERP·재무,Concur,컨커,Premium,경비·출장 요청,경비 보고서·출장 요청 관리,낮음,기업 출장·경비 관리
218,마케팅,Mailchimp,메일침프,Premium,"구독자 추가/수정, 캠페인 발송",구독자·캠페인·리스트 관리,낮음,이메일 마케팙 1위
219,마케팅,Constant Contact,컨스턴트 컨택,Premium,구독자 추가,이메일 캠페인·연락처·리스트 관리,낮음,이메일 마케팅
220,마케팅,Campaign Monitor,캠페인 모니터,Premium,구독자 추가,캠페인·구독자·리스트 관리,낮음,이메일 마케팅 도구
221,마케팅,ActiveCampaign,액티브캠페인,Premium,"연락처 추가/수정, 거래 단계 변경",연락처·자동화·이메일·거래 관리,낮음,마케팅 자동화·CRM
222,마케팅,Marketo,마케토,Premium,리드 생성/수정,리드·캠페인·이메일 관리,낮음,B2B 마케팅 자동화
223,마케팅,Pardot (Salesforce Marketing Cloud),파도트,Premium,잠재고객 변경,잠재고객·이메일·목록 관리,낮음,B2B 자동화 마케팅
224,마케팅,HubSpot Marketing,허브스팟 마케팅,Premium,연락처 생성/수정,이메일·랜딩페이지·양식 관리,낮음,인바운드 마케팅
225,마케팅,Klaviyo,클라비요,Premium,"이벤트 발생, 메트릭 추적","이메일·SMS 발송, 프로필 관리",낮음,이커머스 이메일 마케팅
226,마케팅,Brevo (Sendinblue),브레보,Premium,이메일 이벤트,"이메일·SMS 발송, 연락처 관리",낮음,멀티채널 마케팅
227,마케팅,Drip,드립,Premium,이벤트 발생,이메일 캠페인·자동화·태그 관리,낮음,이커머스 마케팅 자동화
228,마케팅,ConvertKit,컨버트킷,Premium,구독자 추가/수정,구독자·태그·자동화·이메일 관리,낮음,크리에이터 이메일 마케팅
229,마케팅,GetResponse,겟리스폰스,Premium,연락처 추가,이메일·자동화·랜딩페이지 관리,낮음,이메일 마케팅 플랫폼
230,전자상거래,Shopify,쇼피파이,Premium,"주문 생성/결제, 상품 추가, 고객 생성",주문·상품·고객·재고 관리,낮음,글로벌 이커머스 플랫폼
231,전자상거래,WooCommerce,우커머스,Premium,"주문 생성/수정, 상품 변경",주문·상품·고객 관리,낮음,WordPress 이커머스
232,전자상거래,BigCommerce,빅커머스,Premium,"주문 생성, 상품 변경",주문·상품·고객 관리,낮음,대규모 이커머스 플랫폼
233,전자상거래,Magento (Adobe Commerce),마젠토,Premium,주문 생성,주문·상품·고객·재고 관리,낮음,오픈소스 이커머스
234,전자상거래,Squarespace Commerce,스퀘어스페이스,Premium,주문 생성,주문·상품·재고 조회,낮음,웹사이트·이커머스 빌더
235,전자상거래,Wix,윅스,Premium,주문 생성,상품·주문 관리,낮음,드래그앤드롭 웹사이트 빌더
236,전자상거래,Amazon Seller Central,아마존 셀러,Premium,"주문 생성, 재고 변경",주문·재고·배송 관리,낮음,아마존 셀러 자동화
237,전자상거래,eBay,이베이,Premium,"주문 생성, 경매 종료",상품 리스팅·주문 관리,낮음,eBay 셀러 자동화
238,전자상거래,Etsy,엣시,Premium,주문 생성,주문·상품 관리,낮음,핸드메이드·빈티지 이커머스
239,개발자 도구,GitHub,깃허브,Standard,"Push, PR 생성, 이슈 생성, 릴리스",이슈·PR·댓글·파일 관리,낮음,코드 버전 관리·협업
240,개발자 도구,GitLab,깃랩,Premium,"Push, MR 생성, 이슈 생성",이슈·MR·파이프라인 관리,낮음,DevOps 플랫폼
241,개발자 도구,Bitbucket,비트버켓,Premium,"Push, PR 생성",이슈·PR·파일 관리,낮음,Atlassian 코드 저장소
242,개발자 도구,Jenkins,젠킨스,Premium,"빌드 완료, 빌드 실패","빌드 트리거, 상태 조회",낮음,CI/CD 자동화
243,개발자 도구,CircleCI,서클CI,Premium,파이프라인 완료,"파이프라인 트리거, 상태 조회",낮음,클라우드 CI/CD
244,개발자 도구,PagerDuty,페이저듀티,Premium,인시던트 생성/해결,인시던트 생성·해결·에스컬레이션,낮음,IT 인시던트 관리
245,개발자 도구,OpsGenie,옵스지니,Premium,알림 생성,"알림 생성·종결, 온콜 조회",낮음,DevOps 알림 관리
246,개발자 도구,Datadog,데이터독,Premium,모니터 알림,"이벤트 게시, 메트릭 조회, 인시던트 관리",낮음,클라우드 모니터링
247,개발자 도구,New Relic,뉴렐릭,Premium,알림 정책 발동,"알림 관리, 대시보드 조회",낮음,애플리케이션 성능 모니터링
248,개발자 도구,Sentry,센트리,Premium,"새 이슈, 오류 발생","이슈 조회·관리, 프로젝트 통계",낮음,에러 추적·모니터링
249,개발자 도구,Bugzilla,버그질라,Premium,버그 생성/수정,"버그 CRUD, 댓글 추가",낮음,오픈소스 버그 추적
250,개발자 도구,Confluence,컨플루언스,Premium,페이지 생성/수정,"페이지 CRUD, 댓글 추가, 공간 관리",낮음,Atlassian 팀 위키
251,개발자 도구,ServiceNow,서비스나우,Premium,레코드 생성/수정,"레코드 CRUD, 워크플로우 실행, 인시던트 관리",낮음,IT 서비스 관리 (ITSM)
252,양식·설문,Wufoo,우푸,Premium,새 제출,양식·제출·결제 관리,낮음,온라인 양식 빌더
253,양식·설문,Formstack,폼스택,Premium,새 제출,양식·제출·워크플로우 관리,낮음,비즈니스 양식 자동화
254,양식·설문,Cognito Forms,코그니토 폼즈,Standard,새 제출,양식·제출 관리,낮음,온라인 양식 빌더
255,양식·설문,123FormBuilder,123폼빌더,Premium,새 제출,양식·제출 관리,낮음,드래그앤드롭 양식
256,양식·설문,Paperform,페이퍼폼,Premium,새 제출,양식·결제·예약 관리,낮음,멀티 기능 양식 빌더
257,양식·설문,Qualtrics,퀄트릭스,Premium,새 응답,"설문 조회, 응답 데이터 분석",낮음,기업 경험 관리
258,AI·ML,Content Moderator,콘텐츠 조정자,Premium,-,텍스트·이미지·비디오 유해 콘텐츠 감지,낮음,AI 기반 콘텐츠 필터링
259,AI·ML,Custom Vision,커스텀 비전,Premium,-,이미지 분류·개체 탐지 (커스텀 모델),낮음,맞춤형 이미지 AI
260,AI·ML,Language Understanding (LUIS),루이스,Premium,발화 수신,"의도 분석, 개체 추출",낮음,자연어 의도 이해 AI
261,AI·ML,QnA Maker,QnA 메이커,Premium,-,"질문→답변 매핑, 기술 자료 관리",낮음,FAQ 기반 챗봇 AI
262,전자서명·문서,SignNow,사인나우,Premium,서명 완료,서명 요청 생성·발송·관리,낮음,비즈니스 전자서명
263,전자서명·문서,PandaDoc,판다독,Premium,문서 완료/조회,문서 생성·발송·상태 조회,낮음,영업 문서·전자서명
264,전자서명·문서,PDF4me,PDF4me,Premium,-,PDF 변환·병합·분할·압축·OCR,낮음,PDF 자동화 도구
265,전자서명·문서,Muhimbi PDF,무힘비 PDF,Premium,-,PDF 변환·병합·분할·워터마크,낮음,SharePoint PDF 변환
266,전자서명·문서,ABBYY FlexiCapture,애비 플렉시캡처,Premium,-,문서 OCR·데이터 추출·분류,낮음,지능형 문서 처리 (IDP)
267,교육·LMS,Edmodo,에드모도,Premium,게시물 생성,게시물·과제·그룹 관리,낮음,교사-학생 소통 플랫폼
268,통합·개발,Encodian Toolkit,인코디안 툴킷,Premium,-,"데이터 변환, 이미지 처리, 문서 변환",낮음,다목적 변환 도구
269,통합·개발,XML,XML 처리,Standard,-,XML 파싱·변환,낮음,XML 데이터 처리
270,통합·개발,Encodian,인코디안,Premium,-,"Office 파일 변환, 이미지 처리, 바코드",낮음,문서·이미지 처리 유틸
271,통합·개발,Plumsail Documents,플럼세일 도큐먼츠,Premium,-,Word·PDF·Excel 문서 생성,낮음,템플릿 기반 문서 자동화
272,통합·개발,Cloudmersive,클라우드머시브,Premium,-,"파일 변환, 바이러스 스캔, 이미지 처리",낮음,클라우드 API 도구
273,통합·개발,Zapier (via webhook),재피어,Standard,-,워크플로우 트리거,낮음,타 자동화 도구 연동
274,통합·개발,Make (Integromat),메이크,Premium,-,시나리오 실행·관리,낮음,고급 자동화 플랫폼
275,통합·개발,n8n (via webhook),n8n,Standard,-,워크플로우 트리거,낮음,오픈소스 자동화 도구
276,일정·시간,Acuity Scheduling,어큐이티 스케줄링,Premium,예약 생성/취소/변경,예약 조회·취소·관리,낮음,온라인 예약 관리
277,일정·시간,Doodle,두들,Premium,투표 완료,투표 생성·참여자 조회,낮음,그룹 일정 조율
278,일정·시간,When2meet (via webhook),When2meet,Standard,-,가용성 수집 (webhook 연동),낮음,그룹 가용 시간 수집
279,일정·시간,Toggl Track,토글 트랙,Premium,시간 추적 시작/중지,"시간 항목 CRUD, 보고서 조회",낮음,시간 추적 도구
280,일정·시간,Harvest,하비스트,Premium,시간 항목 생성,시간·비용·청구서 관리,낮음,시간 추적·청구 관리
281,일정·시간,Clockify,클락파이,Premium,시간 항목 생성,시간 항목·프로젝트·보고서 관리,낮음,무료 시간 추적
282,기타,RSS,RSS 피드,Standard,새 피드 항목,피드 항목 조회,낮음,RSS 뉴스·블로그 자동화
283,기타,Cloudmersive Virus Scan,클라우드머시브 바이러스 스캔,Premium,-,파일 바이러스 스캔,낮음,업로드 파일 보안 검사
284,기타,Encodian Conversion,인코디안 변환,Premium,-,파일 형식 변환,낮음,다양한 파일 형식 변환
285,기타,Bing Maps,빙 지도,Standard,-,"경로 계산, 위치 검색, 주소 변환",낮음,지도·위치 서비스
286,기타,Weather (MSN Weather),날씨,Standard,날씨 이벤트,현재 날씨·예보 조회,낮음,날씨 데이터 조회
287,기타,Currency Converter,환율 변환기,Standard,-,실시간 환율 변환,낮음,통화 환율 조회·변환
288,기타,Event Grid (System Topics),이벤트 그리드 시스템,Premium,Azure 리소스 이벤트,이벤트 라우팅,낮음,Azure 이벤트 기반 연동
289,기타,Localization (String Resources),다국어 현지화,Standard,-,문자열 번역·현지화,낮음,앱 다국어 처리
290,기타,Power Apps for Makers,파워앱스 메이커,Premium,-,"앱 관리, 환경 관리",낮음,Power Apps 관리 자동화
291,기타,Power Platform for Admins,파워 플랫폼 관리자,Premium,-,환경·커넥터·정책 관리,낮음,Power Platform 관리 자동화
292,기타,Microsoft Whiteboard,MS 화이트보드,Standard,-,화이트보드 조회·생성,낮음,디지털 화이트보드
293,기타,Search (Bing/Microsoft),검색 서비스,Standard,-,"웹 검색, 이미지 검색, 뉴스 검색",낮음,Bing 검색 API
294,기타,Adobe Creative Cloud,어도비 크리에이티브,Premium,-,"에셋 관리, 라이선스 관리",낮음,Adobe 크리에이티브 도구
295,기타,Canva,캔바,Premium,-,디자인 조회·내보내기,낮음,온라인 그래픽 디자인
296,기타,Figma,피그마,Premium,-,"파일·컴포넌트 조회, 댓글 관리",낮음,UI/UX 디자인 협업
297,기타,Loom,룸,Premium,새 비디오 녹화,비디오 조회·공유,낮음,비동기 비디오 메시지
298,기타,Miro,미로,Premium,보드 변경,보드·카드·위젯 관리,낮음,온라인 협업 화이트보드
299,기타,Lucidchart,루시드차트,Premium,-,다이어그램 조회·관리,낮음,다이어그램 협업 도구
300,기타,Stormboard,스톰보드,Premium,스티커 추가,보드·스티커 관리,낮음,디지털 브레인스토밍
301,기타,LiveTiles,라이브타일즈,Premium,-,인트라넷 콘텐츠 관리,낮음,SharePoint 인트라넷 빌더
302,기타,Nintex Workflow,닌텍스 워크플로우,Premium,-,워크플로우 실행·관리,낮음,엔터프라이즈 워크플로우 자동화
303,기타,K2 (Software AG),K2,Premium,-,프로세스·양식 관리,낮음,로우코드 프로세스 자동화
304,기타,Laserfiche,레이저피시,Premium,문서 생성,문서·폴더·워크플로우 관리,낮음,콘텐츠·프로세스 관리
305,기타,OpenText,오픈텍스트,Premium,-,문서·콘텐츠 관리,낮음,기업 정보 관리
306,기타,Objective Connect,오브젝티브 커넥트,Premium,-,파일 공유·협업,낮음,안전한 파일 공유
307,기타,Microsoft Sustainability Manager,MS 지속가능성 관리자,Premium,-,탄소 배출 데이터 관리,낮음,ESG·탄소 중립 관리
308,기타,Compliance and Audit,규정 준수·감사,Premium,-,"감사 로그 조회, 규정 준수 확인",낮음,Microsoft 365 보안·감사
309,기타,Microsoft Purview,MS 퍼뷰,Premium,-,"데이터 분류·레이블링, 정보 보호",낮음,데이터 거버넌스·컴플라이언스
310,기타,Azure Purview (Data Map),Azure 데이터 맵,Premium,-,데이터 카탈로그 조회·관리,낮음,데이터 거버넌스
311,기타,Microsoft Defender for Cloud,MS 디펜더,Premium,보안 경고,보안 경고·권장사항 조회,낮음,클라우드 보안 모니터링
312,기타,Microsoft Sentinel,MS 센티넬,Premium,인시던트 생성,인시던트·경고·헌팅쿼리 관리,낮음,클라우드 SIEM
313,기타,Power Pages,파워 페이지스,Premium,-,웹사이트 데이터 관리,낮음,로우코드 웹사이트 빌더
